BANCO;MONTO;PERFIL;FECHA
AGROMERCANTIL DE GUATEMALA, S. A.;29220384;PASIVO;2021/05/31
G&T CONTINENTAL, S. A.;51571478;PASIVO;2021/05/31
AZTECA DE GUATEMALA, S. A.;1342920;PASIVO;2021/05/31
INV, S. A.;770735;PASIVO;2021/05/31
CREDICORP, S. A.;451678;PASIVO;2021/05/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;292552;CAPITAL;2021/05/31
INMOBILIARIO, S. A.;339505;CAPITAL;2021/05/31
DE LOS TRABAJADORES;4053125;CAPITAL;2021/05/31
INDUSTRIAL, S. A.;8669612;CAPITAL;2021/05/31
DE DESARROLLO RURAL, S. A.;8122645;CAPITAL;2021/05/31
INTERNACIONAL, S. A.;1057871;CAPITAL;2021/05/31
CITIBANK, N.A., SUCURSAL GUATEMALA;370401;CAPITAL;2021/05/31
VIVIBANCO, S. A.;154571;CAPITAL;2021/05/31
FICOHSA GUATEMALA, S. A.;328302;CAPITAL;2021/05/31
PROMERICA, S. A.;1692010;CAPITAL;2021/05/31
DE ANTIGUA, S. A.;115076;CAPITAL;2021/05/31
DE AMÉRICA CENTRAL, S. A.;3132545;CAPITAL;2021/05/31
AGROMERCANTIL DE GUATEMALA, S. A.;2890823;CAPITAL;2021/05/31
G&T CONTINENTAL, S. A.;5220592;CAPITAL;2021/05/31
AZTECA DE GUATEMALA, S. A.;632212;CAPITAL;2021/05/31
INV, S. A.;121634;CAPITAL;2021/05/31
CREDICORP, S. A.;53384;CAPITAL;2021/05/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5697101;ACTIVO;2021/06/30
INMOBILIARIO, S. A.;2040048;ACTIVO;2021/06/30
DE LOS TRABAJADORES;29401801;ACTIVO;2021/06/30
INDUSTRIAL, S. A.;112157910;ACTIVO;2021/06/30
DE DESARROLLO RURAL, S. A.;89306747;ACTIVO;2021/06/30
INTERNACIONAL, S. A.;11606405;ACTIVO;2021/06/30
CITIBANK, N.A., SUCURSAL GUATEMALA;4327959;ACTIVO;2021/06/30
VIVIBANCO, S. A.;758676;ACTIVO;2021/06/30
FICOHSA GUATEMALA, S. A.;3308694;ACTIVO;2021/06/30
PROMERICA, S. A.;18754447;ACTIVO;2021/06/30
DE ANTIGUA, S. A.;1461456;ACTIVO;2021/06/30
DE AMÉRICA CENTRAL, S. A.;34088317;ACTIVO;2021/06/30
AGROMERCANTIL DE GUATEMALA, S. A.;32407601;ACTIVO;2021/06/30
G&T CONTINENTAL, S. A.;58326895;ACTIVO;2021/06/30
AZTECA DE GUATEMALA, S. A.;1992287;ACTIVO;2021/06/30
INV, S. A.;890923;ACTIVO;2021/06/30
CREDICORP, S. A.;503984;ACTIVO;2021/06/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5394659;PASIVO;2021/06/30
INMOBILIARIO, S. A.;1699113;PASIVO;2021/06/30
DE LOS TRABAJADORES;25278440;PASIVO;2021/06/30
INDUSTRIAL, S. A.;103325518;PASIVO;2021/06/30
DE DESARROLLO RURAL, S. A.;81077435;PASIVO;2021/06/30
INTERNACIONAL, S. A.;10535395;PASIVO;2021/06/30
CITIBANK, N.A., SUCURSAL GUATEMALA;3940159;PASIVO;2021/06/30
VIVIBANCO, S. A.;602848;PASIVO;2021/06/30
FICOHSA GUATEMALA, S. A.;2973152;PASIVO;2021/06/30
PROMERICA, S. A.;17062140;PASIVO;2021/06/30
DE ANTIGUA, S. A.;1345850;PASIVO;2021/06/30
DE AMÉRICA CENTRAL, S. A.;30917739;PASIVO;2021/06/30
AGROMERCANTIL DE GUATEMALA, S. A.;29470436;PASIVO;2021/06/30
G&T CONTINENTAL, S. A.;53014694;PASIVO;2021/06/30
AZTECA DE GUATEMALA, S. A.;1350817;PASIVO;2021/06/30
INV, S. A.;768414;PASIVO;2021/06/30
CREDICORP, S. A.;449839;PASIVO;2021/06/30
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;302441;CAPITAL;2021/06/30
INMOBILIARIO, S. A.;340935;CAPITAL;2021/06/30
DE LOS TRABAJADORES;4123362;CAPITAL;2021/06/30
INDUSTRIAL, S. A.;8832393;CAPITAL;2021/06/30
